CHAMPION_NAME,ITEM_NAME,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
SINGED,Refillable Potion,Consumable,0.1304,0.6667,1.10,5,Rylai's Crystal Scepter,Fated Ashes,Boots Of Swiftness
LUCIAN,Last Whisper,Epic,0.069,0.75,1.15,30,Essence Reaver,Infinity Edge,Navori Flickerblade
TALIYAH,Shadowflame,Legendary,0.2542,0.4667,2.74,20,Blackfire Torch,Luden's Companion,Rabadon's Deathcap
ASHE,Doran's Blade,Starter,0.5417,0.6154,2.89,5,Kraken Slayer,Phantom Dancer,Infinity Edge
SMOLDER,Farsight Alteration,Trinket,0.7963,0.5349,3.18,15,Essence Reaver,Doran's Blade,Spear Of Shojin
HECARIM,Guardian Angel,Legendary,0.0526,1,3.33,35,Black Cleaver,Eclipse,Maw Of Malmortius
NEEKO,Frozen Heart,Legendary,0.1795,0.5714,2.38,25,Hextech Rocketbelt,Zhonya's Hourglass,
HWEI,Doran's Ring,Starter,0.4091,0.6667,1.43,5,Blackfire Torch,Liandry's Torment,Needlessly Large Rod
KHAZIX,Rectrix,Epic,0.0149,1,2.33,15,Bastionbreaker,Serrated Dirk,Umbral Glaive
DIANA,Ruby Crystal,Basic,0.037,0,1.35,10,Dusk And Dawn,Sorcerer's Shoes,Zhonya's Hourglass
APHELIOS,Phantom Dancer,Legendary,0.1183,0.4545,2.16,20,Infinity Edge,Stormrazor,Lord Dominik's Regards
GAREN,Infinity Edge,Legendary,0.0541,0.5,1.10,25,Stridebreaker,Phantom Dancer,Spear Of Shojin
DARIUS,Plated Steelcaps,Boots,0.4146,0.3529,2.82,10,Stridebreaker,Sterak's Gage,Dead Man's Plate
GANGPLANK,Immortal Shieldbow,Legendary,0.16,0.5,2.27,20,Essence Reaver,Infinity Edge,Lord Dominik's Regards
YASUO,Stealth Ward,Trinket,0.25,0.1875,1.26,5,Blade Of The Ruined King,Immortal Shieldbow,Doran's Blade
CORKI,Serrated Dirk,Epic,0.0513,0.5,3.39,20,Essence Reaver,Edge Of Night,The Collector
QIYANA,Zhonya's Hourglass,Legendary,0.0175,1,4.00,25,Dusk And Dawn,Hextech Gunblade,Mejai's Soulstealer
VARUS,Void Staff,Legendary,0.0082,0,2.71,30,Dusk And Dawn,Nashor's Tooth,Riftmaker
THRESH,Rejuvenation Bead,Basic,0.0517,0.3333,3.67,20,Bandlepipes,Cloth Armor,Ionian Boots Of Lucidity
GWEN,Nashor's Tooth,Legendary,0.6026,0.5532,2.21,15,Dusk And Dawn,Rabadon's Deathcap,Shadowflame
THRESH,Oracle Lens,Trinket,1,0.4655,2.81,10,Control Ward,Locket Of The Iron Solari,Boots Of Swiftness
YASUO,Null-Magic Mantle,Basic,0.0391,0.6,2.40,30,Blade Of The Ruined King,Immortal Shieldbow,Death's Dance
MORDEKAISER,Dusk And Dawn,Legendary,0.4091,0.4444,2.10,15,Experimental Hexplate,Hextech Rocketbelt,Riftmaker
APHELIOS,Health Potion,Consumable,0.0108,1,3.50,5,Infinity Edge,Stormrazor,
NUNU,Needlessly Large Rod,Basic,0.1034,0.6667,4.33,15,Hextech Rocketbelt,Shadowflame,Sorcerer's Shoes
EZREAL,Phage,Epic,0.0154,0,0.00,10,Sheen,,
SWAIN,Unending Despair,Legendary,0.0227,1,2.17,20,"Jak'sho, The Protean",Protoplasm Harness,
KATARINA,Rabadon's Deathcap,Legendary,0.1786,0.4,2.68,25,Lich Bane,Shadowflame,Hextech Gunblade
SEJUANI,Dark Seal,Starter,0.1429,0.5,0.65,5,Doran's Ring,Giant's Belt,Glacial Buckler
DIANA,Fiendish Codex,Epic,0.0648,0.2857,2.05,15,Dusk And Dawn,Zhonya's Hourglass,Riftmaker
VI,Serrated Dirk,Epic,0.2,0.5,1.50,5,Youmuu's Ghostblade,Mortal Reminder,Opportunity
DIANA,Fated Ashes,Epic,0.0556,0.5,3.75,20,Dusk And Dawn,Riftmaker,Zhonya's Hourglass
DRAVEN,Infinity Edge,Legendary,0.8636,0.6316,2.53,20,The Collector,Bloodthirster,Lord Dominik's Regards
RENGAR,Umbral Glaive,Legendary,0.7018,0.675,3.22,10,Profane Hydra,Edge Of Night,Lord Dominik's Regards
SMOLDER,Infinity Edge,Legendary,0.3148,0.5294,3.70,20,Essence Reaver,Spear Of Shojin,Rapid Firecannon
CAMILLE,Doran's Blade,Starter,0.6429,0.4444,1.55,5,Trinity Force,Long Sword,Ravenous Hydra
KLED,Executioner's Calling,Epic,0.1,0,0.55,20,Titanic Hydra,Tunneler,
AKALI,Stealth Ward,Trinket,0.1774,0.2727,1.80,5,Hextech Gunblade,Shadowflame,Dark Seal
ANIVIA,Amplifying Tome,Basic,0.1389,0.4,3.85,15,Rod Of Ages,Liandry's Torment,Blighting Jewel
AMBESSA,Endless Hunger,Legendary,0.1277,0.75,3.19,25,Axiom Arc,Death's Dance,Profane Hydra
KOGMAW,Needlessly Large Rod,Basic,0.4286,0.8333,2.36,15,Dusk And Dawn,Amplifying Tome,Blackfire Torch
OLAF,Sundered Sky,Legendary,0.3913,0.4444,2.18,20,Stridebreaker,Death's Dance,Sterak's Gage
GAREN,Mercury's Treads,Boots,0.027,1,1.57,20,Phantom Dancer,Serrated Dirk,Stridebreaker
MONKEYKING,Ionian Boots Of Lucidity,Boots,0.1154,0.3333,2.07,20,Sundered Sky,Axiom Arc,Death's Dance
ZAC,Elixir Of Iron,Consumable,0.1111,1,5.36,30,Hextech Rocketbelt,Spirit Visage,Sunfire Aegis
VARUS,Banshee's Veil,Legendary,0.0246,0.3333,2.04,25,Dusk And Dawn,Nashor's Tooth,Experimental Hexplate
LEBLANC,Dark Seal,Starter,0.4444,0.3125,2.83,5,Luden's Companion,Sorcerer's Shoes,Doran's Ring
SHEN,Heartsteel,Legendary,0.05,0.5,1.89,20,Titanic Hydra,,
NOCTURNE,Null-Magic Mantle,Basic,0.0667,1,3.50,15,Black Cleaver,Kindlegem,Mercury's Treads
SHACO,Serylda's Grudge,Legendary,0.08,0,3.56,25,Profane Hydra,Edge Of Night,Opportunity
TEEMO,Sorcerer's Shoes,Boots,0.4286,0.3333,1.13,10,Hextech Gunblade,Liandry's Torment,Malignance
KHAZIX,Ionian Boots Of Lucidity,Boots,0.5821,0.4359,3.03,15,Umbral Glaive,Edge Of Night,Bastionbreaker
QUINN,Doran's Blade,Starter,0.5,0.5,2.00,5,Lord Dominik's Regards,Mercury's Treads,Profane Hydra
LUX,Elixir Of Sorcery,Consumable,0.0256,0,2.63,35,Blighting Jewel,Malignance,Rabadon's Deathcap
KASSADIN,Cloth Armor,Basic,0.0411,0.6667,2.08,5,Rod Of Ages,Malignance,Amplifying Tome
KHAZIX,Boots,Boots,0.1493,0.3,2.47,10,Umbral Glaive,Bastionbreaker,Edge Of Night
AKSHAN,Bloodsong,Legendary,0.0196,1,4.25,15,Serpent's Fang,Umbral Glaive,
JAX,Caulfield's Warhammer,Epic,0.0556,0.25,1.74,20,Dusk And Dawn,Trinity Force,Experimental Hexplate
SMOLDER,Quicksilver Sash,Epic,0.0185,0,2.00,35,Essence Reaver,Infinity Edge,Last Whisper
EKKO,Plated Steelcaps,Boots,0.02,1,4.96,15,Dusk And Dawn,Rabadon's Deathcap,Hextech Rocketbelt
BRAND,Shadowflame,Legendary,0.0714,0.5,2.46,20,Blackfire Torch,Zhonya's Hourglass,Liandry's Torment
JAYCE,Spear Of Shojin,Legendary,0.037,0.6667,2.72,20,Eclipse,Edge Of Night,Mortal Reminder
HEIMERDINGER,Amplifying Tome,Basic,0.2857,0,0.92,5,Echoes Of Helia,Luden's Companion,Mercury's Treads
FIORA,Eclipse,Legendary,0.0256,0,1.50,25,Maw Of Malmortius,Ravenous Hydra,Spear Of Shojin
RENEKTON,Endless Hunger,Legendary,0.0154,1,4.00,20,Eclipse,,
MISSFORTUNE,Ruby Crystal,Basic,0.0345,1,2.11,25,Infinity Edge,Lord Dominik's Regards,Plated Steelcaps
APHELIOS,Boots,Boots,0.0108,1,4.60,10,Immortal Shieldbow,Infinity Edge,Lord Dominik's Regards
ZILEAN,Tear Of The Goddess,Starter,0.0769,0.6667,2.73,5,Bandlepipes,Ionian Boots Of Lucidity,Blackfire Torch
PANTHEON,Farsight Alteration,Trinket,0.075,0,0.99,15,Doran's Blade,Eclipse,Long Sword
ZOE,Blackfire Torch,Legendary,0.0606,0.5,2.67,10,Horizon Focus,Cosmic Drive,Rabadon's Deathcap
RIVEN,Doran's Blade,Starter,0.4865,0.5556,2.24,5,Sundered Sky,Ionian Boots Of Lucidity,Axiom Arc
AKSHAN,The Collector,Legendary,0.7255,0.5946,2.76,20,Umbral Glaive,Infinity Edge,Serpent's Fang
PANTHEON,Phage,Epic,0.075,0.6667,2.60,20,Eclipse,Kindlegem,Sundered Sky
VEIGAR,Rabadon's Deathcap,Legendary,0.5862,0.5882,2.98,25,Rod Of Ages,Luden's Companion,Shadowflame
CHOGATH,Dead Man's Plate,Legendary,0.3,0.6667,2.23,25,Riftmaker,Hextech Rocketbelt,Force Of Nature
TRISTANA,Immortal Shieldbow,Legendary,0.0154,1,2.75,30,Infinity Edge,Lord Dominik's Regards,The Collector
AMUMU,Abyssal Mask,Legendary,0.25,1,3.95,25,Bandlepipes,Liandry's Torment,Locket Of The Iron Solari
MISSFORTUNE,B. F. Sword,Basic,0.2069,0.5,2.36,20,The Collector,Lord Dominik's Regards,Youmuu's Ghostblade
CAITLYN,Long Sword,Basic,0.13,0.3846,1.50,5,Infinity Edge,The Collector,Hexoptics C44
EZREAL,Bloodthirster,Legendary,0.0154,0,4.33,25,Endless Hunger,Essence Reaver,
KAYN,The Brutalizer,Epic,0.0345,1,1.00,15,Black Cleaver,,
YONE,Refillable Potion,Consumable,0.0222,0,0.50,5,Berserker's Greaves,Blade Of The Ruined King,Doran's Blade
TWITCH,Farsight Alteration,Trinket,0.803,0.3962,2.08,20,Infinity Edge,Doran's Blade,Fiendhunter Bolts
ANNIE,Dark Seal,Starter,0.5,1,2.43,5,Amplifying Tome,Blackfire Torch,Bloodletter's Curse
VAYNE,Fiendhunter Bolts,Legendary,0.1408,0.8,1.90,25,Essence Reaver,Stormrazor,Infinity Edge
SHACO,The Collector,Legendary,0.24,0.6667,3.52,10,Infinity Edge,Youmuu's Ghostblade,Lord Dominik's Regards
NASUS,Long Sword,Basic,0.0417,0,0.50,10,Ionian Boots Of Lucidity,Phage,Sheen
LEESIN,Opportunity,Legendary,0.0556,0.25,2.19,25,Umbral Glaive,Profane Hydra,Serylda's Grudge
YUUMI,Kindlegem,Epic,0.1379,0.25,9.36,10,Mikael's Blessing,Ardent Censer,Bandleglass Mirror
SEJUANI,Oblivion Orb,Epic,0.0714,1,1.00,10,Dusk And Dawn,,
UDYR,Endless Hunger,Legendary,0.1333,0,2.24,10,Death's Dance,Hextech Gunblade,Spirit Visage
SONA,Stealth Ward,Trinket,0.02,0,4.00,5,Bandleglass Mirror,Boots,
YORICK,Hullbreaker,Legendary,0.0833,0,1.33,15,Spear Of Shojin,Sterak's Gage,Trinity Force
YONE,Null-Magic Mantle,Basic,0.0222,1,0.67,10,Blade Of The Ruined King,Dagger,Immortal Shieldbow
JANNA,Staff Of Flowing Water,Legendary,0.0469,0.3333,2.92,20,Redemption,Moonstone Renewer,Shurelya's Battlesong
PANTHEON,Ruby Crystal,Basic,0.1,0,0.94,10,Black Cleaver,Eclipse,Glowing Mote
EKKO,Dusk And Dawn,Legendary,0.94,0.4787,3.11,15,Shadowflame,Rabadon's Deathcap,Zhonya's Hourglass
FIORA,Randuin's Omen,Legendary,0.0256,0,2.27,40,Death's Dance,Endless Hunger,Ravenous Hydra
VEIGAR,Needlessly Large Rod,Basic,0.3793,0.5455,3.09,20,Rod Of Ages,Fiendish Codex,Boots Of Swiftness
CASSIOPEIA,Oracle Lens,Trinket,0.0769,0.5,1.24,15,Doran's Ring,Rod Of Ages,Kindlegem
TRISTANA,Guardian Angel,Legendary,0.0462,0.3333,2.58,30,Infinity Edge,Navori Flickerblade,Yun Tal Wildarrows
YORICK,Spear Of Shojin,Legendary,0.6667,0.5,1.87,20,Trinity Force,Sterak's Gage,Black Cleaver
SYNDRA,Oblivion Orb,Epic,0.0164,1,0.75,25,Blackfire Torch,Luden's Companion,
ZERI,Farsight Alteration,Trinket,0.9355,0.5517,1.98,20,Yun Tal Wildarrows,Doran's Blade,Fiendhunter Bolts
NAUTILUS,Ionian Boots Of Lucidity,Boots,0.0208,0.5,2.55,10,Bandlepipes,Fiendish Codex,Forbidden Idol
TWISTEDFATE,Shurelya's Battlesong,Legendary,0.0556,0,1.33,15,Lich Bane,Rapid Firecannon,
NAAFIRI,Serrated Dirk,Epic,0.0952,0.1667,2.58,15,Axiom Arc,Profane Hydra,Voltaic Cyclosword
XINZHAO,Essence Reaver,Legendary,0.1,1,1.38,10,Eclipse,,
RENEKTON,Control Ward,Consumable,0.0615,0.5,2.09,5,Eclipse,Black Cleaver,Doran's Blade
AKALI,Cloth Armor,Basic,0.0161,0,0.78,20,Amplifying Tome,Hextech Gunblade,Shadowflame
HECARIM,Spear Of Shojin,Legendary,0.8947,0.4118,3.36,15,Death's Dance,Endless Hunger,Black Cleaver
GNAR,Force Of Nature,Legendary,0.04,1,1.50,35,Randuin's Omen,Sterak's Gage,Trinity Force
JAYCE,Oracle Lens,Trinket,0.4444,0.3611,2.96,5,Youmuu's Ghostblade,Opportunity,Ionian Boots Of Lucidity
JANNA,Boots,Boots,0.0156,0,7.00,5,Kindlegem,Moonstone Renewer,Redemption
NILAH,Null-Magic Mantle,Basic,0.0769,0,2.20,25,Boots,Infinity Edge,Lord Dominik's Regards
AATROX,Maw Of Malmortius,Legendary,0.087,0.5,1.49,25,Death's Dance,Spear Of Shojin,Endless Hunger
DRAVEN,Mercurial Scimitar,Legendary,0.0227,1,1.73,25,Bloodthirster,Infinity Edge,Lord Dominik's Regards
ZILEAN,Fiendish Codex,Epic,0.1282,0.8,6.32,20,Bandlepipes,Forbidden Idol,Blackfire Torch
FIDDLESTICKS,Haunting Guise,Epic,0.0357,1,3.50,10,Hextech Rocketbelt,Zhonya's Hourglass,
GWEN,Doran's Ring,Starter,0.2308,0.3889,1.53,5,Dusk And Dawn,Nashor's Tooth,Plated Steelcaps
RAKAN,Warden's Mail,Epic,0.0238,0,1.00,25,Bandlepipes,Glacial Buckler,
GWEN,Cryptbloom,Legendary,0.0128,0,2.57,35,Banshee's Veil,Dusk And Dawn,Rabadon's Deathcap
MEL,Blighting Jewel,Epic,0.0588,0,1.17,35,Rabadon's Deathcap,Blackfire Torch,Horizon Focus
KENNEN,Hextech Gunblade,Legendary,0.4571,0.4375,2.13,15,Shadowflame,Zhonya's Hourglass,Void Staff
VARUS,Guardian Angel,Legendary,0.0082,0,3.63,35,Blade Of The Ruined King,Guinsoo's Rageblade,"Jak'sho, The Protean"
SENNA,Zeal,Epic,0.0714,0.3333,2.28,20,Black Cleaver,Executioner's Calling,Scout's Slingshot
JAX,Hullbreaker,Legendary,0.0278,0,0.28,20,Dusk And Dawn,Nashor's Tooth,
WARWICK,Guardian Angel,Legendary,0.0909,1,4.40,30,Blade Of The Ruined King,Death's Dance,Randuin's Omen
GALIO,Spirit Visage,Legendary,0.02,0,3.00,25,Bandlepipes,,
JAYCE,B. F. Sword,Basic,0.037,1,3.48,30,Edge Of Night,Ionian Boots Of Lucidity,Opportunity
AKALI,Mejai's Soulstealer,Legendary,0.0161,1,2.57,15,Hextech Gunblade,Shadowflame,Zhonya's Hourglass
LUCIAN,B. F. Sword,Basic,0.2069,0.9167,2.58,20,Essence Reaver,Navori Flickerblade,Infinity Edge
PANTHEON,Oracle Lens,Trinket,0.45,0.5556,2.68,5,Sundered Sky,Black Cleaver,Control Ward
RENGAR,Edge Of Night,Legendary,0.4561,0.6923,3.03,25,Profane Hydra,Umbral Glaive,Lord Dominik's Regards
KENNEN,Sorcerer's Shoes,Boots,0.7714,0.4444,2.14,15,Shadowflame,Hextech Gunblade,Hextech Rocketbelt
KALISTA,Randuin's Omen,Legendary,0.0769,1,3.17,35,Blade Of The Ruined King,Guinsoo's Rageblade,Terminus
CAITLYN,Steel Sigil,Epic,0.01,1,1.43,35,Rapid Firecannon,The Collector,Yun Tal Wildarrows
NAUTILUS,Plated Steelcaps,Boots,0.5104,0.6327,2.94,10,Locket Of The Iron Solari,Bandlepipes,Kindlegem
NAUTILUS,Abyssal Mask,Legendary,0.0521,0.8,3.56,25,Bandlepipes,Locket Of The Iron Solari,Celestial Opposition
NAMI,Mikael's Blessing,Legendary,0.1119,0.5333,3.59,25,Imperial Mandate,Redemption,Ardent Censer
MISSFORTUNE,Last Whisper,Epic,0.1034,0.3333,1.07,20,The Collector,Youmuu's Ghostblade,Axiom Arc
XERATH,Dark Seal,Starter,0.4545,0.4,4.11,5,Luden's Companion,Shadowflame,Sorcerer's Shoes
YASUO,Cloth Armor,Basic,0.0234,0.6667,2.03,25,Immortal Shieldbow,Kraken Slayer,Lord Dominik's Regards
KINDRED,Control Ward,Consumable,0.0667,1,2.00,15,Berserker's Greaves,Infinity Edge,Last Whisper
ORNN,Force Of Nature,Legendary,0.0244,1,0.71,15,Hollow Radiance,"Jak'sho, The Protean",
HECARIM,Oracle Lens,Trinket,0.4211,0.125,2.43,5,Ionian Boots Of Lucidity,Spear Of Shojin,Black Cleaver
RENATA,Ruby Crystal,Basic,0.1111,1,11.00,5,Echoes Of Helia,Forbidden Idol,Ionian Boots Of Lucidity
KINDRED,Berserker's Greaves,Boots,0.3333,0.6,2.91,15,The Collector,Kraken Slayer,Serpent's Fang
ANNIE,Malignance,Legendary,0.75,1,3.67,15,Shadowflame,Zhonya's Hourglass,Banshee's Veil
MORDEKAISER,Bloodletter's Curse,Legendary,0.0455,0,0.89,20,Riftmaker,,
VAYNE,Long Sword,Basic,0.1127,0.625,1.24,5,Essence Reaver,Stormrazor,Berserker's Greaves
MONKEYKING,Null-Magic Mantle,Basic,0.0385,1,1.33,10,Eclipse,Maw Of Malmortius,Mercury's Treads
NEEKO,Banshee's Veil,Legendary,0.0513,1,9.67,25,Hextech Rocketbelt,Mejai's Soulstealer,Zaz'zak's Realmspike
HECARIM,Null-Magic Mantle,Basic,0.0526,0,2.00,30,Death's Dance,Endless Hunger,Ionian Boots Of Lucidity
BRAND,Cloth Armor,Basic,0.0357,0,2.00,20,Amplifying Tome,Boots Of Swiftness,Rylai's Crystal Scepter
MEL,Stormsurge,Legendary,0.1471,0.6,6.59,20,Rabadon's Deathcap,Shadowflame,Cosmic Drive
SONA,Ruby Crystal,Basic,0.06,0,1.68,10,Echoes Of Helia,Ionian Boots Of Lucidity,Bandleglass Mirror
LEONA,Protoplasm Harness,Legendary,0.3091,0.5294,2.15,20,Bandlepipes,Locket Of The Iron Solari,Knight's Vow
VELKOZ,Oracle Lens,Trinket,0.4706,0.375,2.43,10,Control Ward,Horizon Focus,Ionian Boots Of Lucidity
ZOE,Horizon Focus,Legendary,0.1818,0.5,2.38,20,Luden's Companion,Blackfire Torch,Shadowflame
AHRI,Hextech Alternator,Epic,0.087,0.5,2.48,20,Malignance,Blackfire Torch,Cosmic Drive
ZYRA,Blasting Wand,Basic,0.1053,0,1.33,15,Liandry's Torment,Sorcerer's Shoes,Amplifying Tome
GAREN,Steel Sigil,Epic,0.027,0,3.00,20,Caulfield's Warhammer,Dead Man's Plate,Stridebreaker
CAITLYN,Boots,Boots,0.01,0,0.43,10,Hexoptics C44,,
JINX,Infinity Edge,Legendary,0.6618,0.5111,2.35,20,Yun Tal Wildarrows,Runaan's Hurricane,Lord Dominik's Regards
APHELIOS,Plated Steelcaps,Boots,0.0108,1,1.30,10,Immortal Shieldbow,Infinity Edge,Stormrazor
QUINN,Farsight Alteration,Trinket,0.125,1,1.50,20,Edge Of Night,Lord Dominik's Regards,Plated Steelcaps
CORKI,Warden's Mail,Epic,0.0128,1,2.00,20,Trinity Force,,
JHIN,Refillable Potion,Consumable,0.0417,0.3333,1.81,5,Doran's Blade,Boots Of Swiftness,Cloak Of Agility
ORIANNA,Oblivion Orb,Epic,0.0556,1,12.83,20,Shadowflame,Blackfire Torch,Blighting Jewel
GNAR,Negatron Cloak,Epic,0.12,1,2.38,25,Black Cleaver,Trinity Force,Randuin's Omen
PYKE,Steel Sigil,Epic,0.04,0,2.39,25,Youmuu's Ghostblade,Axiom Arc,Edge Of Night
NIDALEE,Farsight Alteration,Trinket,0.0313,1,4.67,20,Dark Seal,Echoes Of Helia,Hextech Alternator
ZAAHEN,Boots,Boots,0.0769,0.6667,0.68,10,Trinity Force,Caulfield's Warhammer,Hexdrinker
KALISTA,Yun Tal Wildarrows,Legendary,0.2308,0.3333,2.67,15,Blade Of The Ruined King,Kraken Slayer,Terminus
VOLIBEAR,Giant's Belt,Epic,0.0702,0.5,2.66,15,Spirit Visage,Dusk And Dawn,Frozen Heart
YUUMI,Moonstone Renewer,Legendary,0.6207,0.6667,5.38,15,Mikael's Blessing,Dawncore,Ardent Censer
TRUNDLE,Winged Moonplate,Epic,0.1818,0.5,0.55,20,Blade Of The Ruined King,Negatron Cloak,Ravenous Hydra
ZILEAN,Aether Wisp,Epic,0.0256,0,1.88,10,Bandleglass Mirror,Bandlepipes,
TWISTEDFATE,Blighting Jewel,Epic,0.0278,0,1.60,20,Lich Bane,Rabadon's Deathcap,Rapid Firecannon
JAYCE,Ionian Boots Of Lucidity,Boots,0.5185,0.5,3.54,15,Youmuu's Ghostblade,Opportunity,Serylda's Grudge
NAAFIRI,Hubris,Legendary,0.0476,0,1.04,10,Bastionbreaker,Eclipse,Serylda's Grudge
ANIVIA,Boots,Boots,0.0833,0.3333,2.00,10,Rod Of Ages,Archangel's Staff,
LEONA,Frozen Heart,Legendary,0.0364,0,1.65,20,Locket Of The Iron Solari,Thornmail,Winter's Approach
KATARINA,Elixir Of Sorcery,Consumable,0.0179,0,1.43,40,Hextech Gunblade,Needlessly Large Rod,Rabadon's Deathcap
BLITZCRANK,Dead Man's Plate,Legendary,0.0667,1,2.67,20,Bandlepipes,,
AKALI,Hextech Alternator,Epic,0.0968,0.1667,1.22,10,Hextech Gunblade,Lich Bane,Stormsurge
VEIGAR,Hextech Alternator,Epic,0.0345,0,0.43,10,Lost Chapter,,
IVERN,Malignance,Legendary,0.3043,0.5714,4.27,15,Mejai's Soulstealer,Zhonya's Hourglass,Bloodletter's Curse
RENEKTON,Warden's Mail,Epic,0.0154,0,1.23,25,Black Cleaver,Sterak's Gage,Stridebreaker
ZAAHEN,Sundered Sky,Legendary,0.4872,0.5789,1.73,25,Trinity Force,Death's Dance,Maw Of Malmortius
KENNEN,Seeker's Armguard,Epic,0.0286,1,3.00,25,Hextech Gunblade,Shadowflame,Void Staff
SINGED,Dead Man's Plate,Legendary,0.0435,0,0.80,20,Liandry's Torment,,
VARUS,Bastionbreaker,Legendary,0.0082,1,6.00,20,Edge Of Night,Hubris,
KSANTE,Zeke's Convergence,Legendary,0.0882,1,5.44,25,"Jak'sho, The Protean",Force Of Nature,Iceborn Gauntlet
AMBESSA,Boots,Boots,0.1064,0.2,1.44,10,Profane Hydra,Eclipse,Serrated Dirk
JAX,Recurve Bow,Epic,0.0278,0,2.08,15,Negatron Cloak,Zhonya's Hourglass,Dusk And Dawn
TAHMKENCH,Bramble Vest,Epic,0.3077,0.5,1.39,10,Heartsteel,Bandlepipes,Dusk And Dawn
ELISE,Negatron Cloak,Epic,0.0256,0,1.21,40,Hextech Alternator,Stormsurge,Zhonya's Hourglass
AKSHAN,Serrated Dirk,Epic,0.098,0.2,1.18,5,Umbral Glaive,Serpent's Fang,Lord Dominik's Regards
BARD,Kaenic Rookern,Legendary,0.0256,0.5,2.82,25,Dead Man's Plate,Locket Of The Iron Solari,
RAKAN,Control Ward,Consumable,0.9762,0.561,3.38,15,Zeke's Convergence,Locket Of The Iron Solari,Ionian Boots Of Lucidity
KASSADIN,Boots Of Swiftness,Boots,0.0137,0,1.83,30,Malignance,Plated Steelcaps,Rod Of Ages
GRAGAS,Ionian Boots Of Lucidity,Boots,0.4091,0.2222,1.88,15,Hextech Rocketbelt,Rod Of Ages,Seeker's Armguard
JARVANIV,Stealth Ward,Trinket,0.0896,0.3333,2.40,5,Profane Hydra,Long Sword,Axiom Arc
LUX,Echoes Of Helia,Legendary,0.0256,1,6.00,10,Horizon Focus,,
IVERN,Oracle Lens,Trinket,0.4348,0.4,3.74,5,Ionian Boots Of Lucidity,Redemption,Moonstone Renewer
FIORA,Endless Hunger,Legendary,0.0513,0,1.97,30,Death's Dance,Ravenous Hydra,Randuin's Omen
MEL,Bloodletter's Curse,Legendary,0.0882,0.6667,3.25,25,Blackfire Torch,Cosmic Drive,Liandry's Torment
IRELIA,Wit's End,Legendary,0.35,0.381,2.07,20,Blade Of The Ruined King,Death's Dance,Hullbreaker
KASSADIN,Riftmaker,Legendary,0.0137,1,6.00,25,Rabadon's Deathcap,Rod Of Ages,
JANNA,Redemption,Legendary,0.5156,0.5455,3.45,25,Moonstone Renewer,Shurelya's Battlesong,Ardent Censer
GALIO,Redemption,Legendary,0.02,1,4.33,25,Celestial Opposition,Frozen Heart,Locket Of The Iron Solari
SYLAS,Blighting Jewel,Epic,0.0319,0.3333,2.76,25,Hextech Rocketbelt,Zhonya's Hourglass,Riftmaker
QUINN,Edge Of Night,Legendary,0.625,0.4,1.75,20,Profane Hydra,Serpent's Fang,Mortal Reminder
TWITCH,Dark Seal,Starter,0.0303,0.5,1.47,5,Doran's Ring,Nashor's Tooth,Rabadon's Deathcap
LEESIN,Boots,Boots,0.0278,0.5,0.71,15,Edge Of Night,Executioner's Calling,Opportunity
KENNEN,Stealth Ward,Trinket,0.2,0.4286,1.63,5,Needlessly Large Rod,Sorcerer's Shoes,Hextech Gunblade
MEL,Seeker's Armguard,Epic,0.0294,0,1.63,30,Rabadon's Deathcap,Shadowflame,Stormsurge
YUNARA,Last Whisper,Epic,0.061,0.8,2.86,25,Fiendhunter Bolts,Kraken Slayer,Infinity Edge
GALIO,Sapphire Crystal,Basic,0.02,0,3.00,10,Cloth Armor,Locket Of The Iron Solari,Plated Steelcaps
VAYNE,B. F. Sword,Basic,0.1408,0.6,2.40,20,Essence Reaver,Stormrazor,Berserker's Greaves
KATARINA,Dagger,Basic,0.0357,1,1.19,5,Blade Of The Ruined King,Kraken Slayer,Long Sword
GRAGAS,Refillable Potion,Consumable,0.0455,0,0.20,5,Amplifying Tome,Dark Seal,Luden's Companion
QIYANA,Axiom Arc,Legendary,0.5263,0.4667,2.30,20,Profane Hydra,Serylda's Grudge,Edge Of Night
LISSANDRA,Farsight Alteration,Trinket,0.2353,0.5,1.58,15,Malignance,Shadowflame,Doran's Ring
TRISTANA,Hexdrinker,Epic,0.0154,1,1.21,40,Bloodthirster,Hexoptics C44,Infinity Edge
SHACO,Dark Seal,Starter,0.08,0,2.43,5,Blackfire Torch,Ionian Boots Of Lucidity,Cryptbloom
VLADIMIR,Warden's Mail,Epic,0.0175,0,0.40,10,Hextech Rocketbelt,,
SINGED,Doran's Ring,Starter,0.1304,0.6667,1.87,5,Dark Seal,Fated Ashes,Boots Of Swiftness
KARTHUS,Zhonya's Hourglass,Legendary,0.2143,0.6667,2.27,30,Blackfire Torch,Rabadon's Deathcap,Shadowflame
LUX,Oblivion Orb,Epic,0.0769,0,2.01,20,Shurelya's Battlesong,Zhonya's Hourglass,Horizon Focus
SHYVANA,Navori Flickerblade,Legendary,0.5,0,1.50,20,Ravenous Hydra,Sundered Sky,Zeke's Convergence
REKSAI,Chempunk Chainsword,Legendary,0.0938,0.3333,2.93,30,Spear Of Shojin,Titanic Hydra,Black Cleaver
